"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"21","print_s",144785.136785456,3750663.54914358,0.0129821116925543,23889.5767461375,0.0069792076701475,3750663.54914358,0.0129821116925543,23889.5767461375,0.0069792076701475,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,1804904.93333333,11496.2097664544,13314.9528400722,1818.74307361785,12605.1271975814,0.0478369682055284,0.155411453530545,1.09645939432689,2.07803939136937,0.481222831556156,3,FALSE,1.99107562092416,0.0203191908550071,1.86002467192152,2.12311431372274,0.038061059618206
"22","facebook_s",156199.434844914,1071849.45677515,0.00370997536386221,6827.06660366338,0.00199448973547005,1071849.45677515,0.00370997536386221,6827.06660366338,0.00199448973547005,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,1002234.0659765,6383.65647118789,6383.86229114798,0.205819960085137,1623.02775773819,0.0265630827769259,0.0444128565147859,0.254247352604827,1.06946021210207,0.935051148872994,3,FALSE,1.16480680263513,0.0372273559985433,0.922992119456318,1.40500598628557,0.000125855285868004
"23","search_s",72705.1507497496,1087818.78522475,0.00376524974474745,6928.7820714952,0.00202420534662584,1087818.78522475,0.00376524974474745,6928.7820714952,0.00202420534662584,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,2429880,15476.9426751592,25228.6729267316,9751.73025157236,8631.17379971249,0.0644012269879381,0.0450745571748798,0.557679509504528,0.44768415939254,2.23371763110156,3,FALSE,0.488880784572086,0.0438714084287782,0.202546760788813,0.770586758601929,0.0113568280245894
"24","newsletter",373929.729214045,3179621.13218339,0.0110055717174195,20252.3638992572,0.0059166160609006,3179621.13218339,0.0110055717174195,20252.3638992572,0.0059166160609006,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,0.0789642255468842
"25","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"26","trend",0.388363569006909,109958935.11584,0.380587239478893,700375.382903441,0.203199058872255,109958935.11584,0.380587239478893,700375.382903441,0.203199058872255,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"27","season",0.350482072306671,120154.254891019,0.000415875036734769,765.313725420503,0.000222039541285398,120154.254891019,0.000415875036734769,765.313725420503,0.000222039541285398,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"28","holiday",0.789881240924627,2206546.18340612,0.00763724493912677,68954.5682314412,0.0200057050998653,2206546.18340612,0.00763724493912677,68954.5682314412,0.0200057050998653,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"29","competitor_sales_b",0.169719086266144,147865535.511201,0.511788659238929,941818.697523575,0.273248714384737,147865535.511201,0.511788659238929,941818.697523575,0.273248714384737,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"30","events",0.964013262601405,1561541.95107906,0.0054047716983215,1561541.95107906,0.453048268963153,1561541.95107906,0.0054047716983215,1561541.95107906,0.453048268963153,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
