"","facebook_s_alphas","facebook_s_gammas","facebook_s_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_s_alphas","ooh_s_gammas","ooh_s_thetas","print_s_alphas","print_s_gammas","print_s_thetas","search_s_alphas","search_s_gammas","search_s_thetas","tv_s_alphas","tv_s_gammas","tv_s_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"27",2.8943975,0.3953666,0.0329433,2.5600475,0.9180146,0.3879709,0.511251575,0.31880844,0.3995059,2.88577,0.472389,0.2166625,2.648725,0.7797023,0.2886102,1.872445,0.3813106,0.3212843,1,0.904330185499358,NA,NA,0.0690434747891559,NA,NA,0.0690434747891559,0.365712705480785,0,7049.65580357947,7.66018e-06,65481090.2533626,1e-04,1,0.576052904129028,412.619387149811,"5_509_2",5,509,2,1526,FALSE,TRUE,1,0.0723367722736874,1,FALSE
"28",2.91243,0.3847672,0.1271556,2.74433,0.9846406,0.3395077,0.5148255,0.302540237,0.3944593,2.9642475,0.4517544,0.1774714,2.5796125,0.9227025,0.2349534,1.4534,0.4006698,0.3184739,1,0.905211473099647,NA,NA,0.0687247330048637,NA,NA,0.0687247330048637,0.418411801702132,0,13197.8344745994,0.000101562,65481090.2533626,1e-04,1,0.676213026046753,431.714282989502,"5_533_3",5,533,3,1599,FALSE,TRUE,1,0.0899886771428227,1,FALSE
"29",2.5678525,0.6783514,0.1198827,2.4720725,0.9986196,0.3838114,0.501014025,0.305462422,0.397138,2.7674175,0.4514408,0.1434262,2.5163975,0.7446603,0.0726711,2.1874875,0.6878182,0.3272524,1,0.899039333316979,NA,NA,0.0709269490908277,NA,NA,0.0709269490908277,0.239166840893215,0,71765.205269962,0.000996068,65481090.2533626,1e-04,1,0.61023211479187,445.337332010269,"5_551_1",5,551,1,1651,FALSE,TRUE,1,0.0303168215783185,6,FALSE
"30",2.854925,0.6868333,0.1601076,2.876475,0.7312406,0.3379636,0.50004616425,0.306604031,0.3975898,2.7135875,0.493039,0.11606116,2.52376,0.6268825,0.2169993,2.13942,0.6211327,0.32698035,1,0.900424063783396,NA,NA,0.0704388688956892,NA,NA,0.0704388688956892,0.263877232144925,0,22674.2268573179,0.000246296,65481090.2533626,1e-04,1,0.613831043243408,462.302924156189,"5_572_2",5,572,2,1715,FALSE,TRUE,1,0.0383981883760861,6,FALSE
"31",2.9926575,0.6055059,0.1482636,2.4346625,0.7430741,0.3716077,0.505568375,0.304771417,0.397627,2.4964475,0.5080232,0.13666,2.550115,0.4761571,0.267243,2.2590525,0.35356141,0.3392903,1,0.902944624373422,NA,NA,0.0697641807621679,NA,NA,0.0697641807621679,0.295881557001449,0,22674.2268573179,0.000246296,65481090.2533626,1e-04,1,0.710951089859009,470.412594079971,"5_582_2",5,582,2,1745,FALSE,TRUE,1,0.0489915426647342,6,TRUE
"32",2.597685,0.3816767,0.0643677,2.91205,0.8245289,0.3849901,0.52478075,0.32597525,0.3961024,2.9211475,0.34678814,0.1461118,2.5777875,0.6381525,0.2512836,2.3729825,0.3992796,0.31869125,1,0.903483329732933,NA,NA,0.069348383097149,NA,NA,0.069348383097149,0.334898852952508,0,7819.19904925535,1.94135e-05,65481090.2533626,1e-04,1,0.727380990982056,470.435199975967,"5_582_3",5,582,3,1746,FALSE,TRUE,1,0.0620253589783511,1,FALSE
"33",2.9926575,0.6055059,0.1482636,2.4346625,0.7430741,0.3716077,0.505568375,0.304771417,0.397627,2.4964475,0.5080232,0.13666,2.550115,0.4761571,0.1727958,2.2590525,0.35356141,0.3392903,1,0.902947270707028,NA,NA,0.0697632296527968,NA,NA,0.0697632296527968,0.29597141955981,0,22674.2268573179,0.000246296,65481090.2533626,1e-04,1,0.682435989379883,494.663478136063,"5_612_2",5,612,2,1835,FALSE,TRUE,1,0.049021520262506,6,FALSE
"34",2.4607125,0.8167659,0.0292389,2.748165,0.8272568,0.379663,0.513182925,0.302974748,0.392281,2.88022,0.4926323,0.12354559,1.1301475,0.8800284,0.0893469,2.9891525,0.6683057,0.3723885,1,0.896220041499693,NA,NA,0.0719104357860262,NA,NA,0.0719104357860262,0.193699750057501,0,112322.886604935,0.00161551,65481090.2533626,1e-04,1,0.680199861526489,495.511525154114,"5_613_3",5,613,3,1839,FALSE,TRUE,1,0.0162360293225724,6,FALSE
"35",2.5520875,0.9937574,0.0540492,2.68611,0.831237,0.3091,0.501290225,0.31814393,0.3988996,2.858635,0.4953672,0.1525117,2.14252,0.8869696,0.1938273,2.8656325,0.6059189,0.33839525,1,0.897158259587042,NA,NA,0.0715846462486997,NA,NA,0.0715846462486997,0.195067139180062,0,84665.1305123236,0.00119309,65481090.2533626,1e-04,1,0.595682144165039,498.504879951477,"5_617_2",5,617,2,1850,FALSE,TRUE,1,0.0163773358092958,6,FALSE
"36",2.6138375,0.870367,0.1291671,2.0743625,0.959379,0.3856504,0.5006649725,0.31317099,0.3999667,2.331625,0.5270625,0.10442215,1.63427,0.9119197,0.2021595,2.2400925,0.7660768,0.31827235,1,0.897619126746374,NA,NA,0.0714240691506297,NA,NA,0.0714240691506297,0.211286124902254,0,75557.6217000463,0.00105399,65481090.2533626,1e-04,1,0.58748197555542,500.703155040741,"5_620_1",5,620,1,1858,FALSE,TRUE,1,0.0214099041176721,6,FALSE
"37",2.5520875,0.9937574,0.0540492,2.68611,0.831237,0.3091,0.501290225,0.31814393,0.3996844,2.725755,0.4394701,0.102486385,1.8496775,0.7262664,0.2227554,2.4338525,0.36502279,0.3276349,1,0.900078597943525,NA,NA,0.0707867479993504,NA,NA,0.0707867479993504,0.252357638885267,0,61155.5140372671,0.000834025,65481090.2533626,1e-04,1,0.619976997375488,506.023759126663,"5_627_2",5,627,2,1880,FALSE,TRUE,1,0.034647609875496,4,FALSE
"38",2.4460175,0.9241011,0.00976956,2.8949225,0.8270258,0.3724471,0.5007156975,0.31772526,0.3963583,2.5342525,0.5564492,0.12634564,2.875955,0.6413564,0.0949308,2.8389025,0.5454018,0.34444855,1,0.898323360260702,NA,NA,0.071177997706728,NA,NA,0.071177997706728,0.212609603675799,0,64379.6114415386,0.000883267,65481090.2533626,1e-04,1,0.597929000854492,507.552359104156,"5_629_3",5,629,3,1887,FALSE,TRUE,1,0.0217022299384364,6,FALSE
"39",2.54671,0.6634456,0.0560637,2.8949225,0.8270258,0.3724471,0.5007156975,0.31772526,0.3963583,2.5342525,0.5564492,0.1991536,2.98636,0.6739757,0.1167336,2.63012,0.5301082,0.3291753,1,0.89920192224061,NA,NA,0.0708698150442666,NA,NA,0.0708698150442666,0.241005915623631,0,65622.252776896,0.000902246,65481090.2533626,1e-04,1,0.691717863082886,516.053817033768,"5_639_3",5,639,3,1917,FALSE,TRUE,1,0.0309067475324025,6,FALSE
"40",2.8331775,0.6575838,0.1614102,2.5859775,0.8476723,0.3519391,0.51703395,0.302816142,0.3969415,2.7048525,0.4590729,0.1001087317,2.4699425,0.8953213,0.157857,2.3275775,0.4524145,0.32731535,1,0.901114137514193,NA,NA,0.0701943694569229,NA,NA,0.0701943694569229,0.273886880816222,0,69253.536358763,0.000957707,65481090.2533626,1e-04,1,0.597090005874634,517.564595937729,"5_641_1",5,641,1,1921,FALSE,TRUE,1,0.0416933514616466,6,FALSE
"41",2.52302,0.9503007,0.01779315,2.60603,0.8175912,0.3267748,0.510823525,0.33395189,0.3994285,2.43225,0.5704002,0.1723315,2.871415,0.8795678,0.0750993,2.4709475,0.4566887,0.3359654,1,0.899970668304802,NA,NA,0.0705990501322608,NA,NA,0.0705990501322608,0.262058037048325,0,64849.6531795928,0.000890446,65481090.2533626,1e-04,1,0.606559038162231,519.812046051025,"5_644_3",5,644,3,1932,FALSE,TRUE,1,0.0378270808528168,6,FALSE
"42",2.8434275,0.5923676,0.1432428,2.5711975,0.6871364,0.3547744,0.50244049,0.302674308,0.3952435,2.7820925,0.4730029,0.1787818,2.6245175,0.4445913,0.0495816,2.5298175,0.32951459,0.34364145,1,0.902188605813361,NA,NA,0.0700353697717334,NA,NA,0.0700353697717334,0.285734470144821,0,36576.7637635358,0.000458631,65481090.2533626,1e-04,1,0.594819068908691,522.740307092667,"5_648_1",5,648,1,1942,FALSE,TRUE,1,0.0456290347319474,4,TRUE
"43",2.597685,0.3816767,0.0824646,2.7205375,0.806527,0.3726694,0.52211045,0.32042285,0.3998338,2.613565,0.4004171,0.12488563,2.5777875,0.6381525,0.2512836,2.3729825,0.3992796,0.31869125,1,0.90345750414681,NA,NA,0.0693576604729969,NA,NA,0.0693576604729969,0.334168406667222,0,7819.19904925535,1.94135e-05,65481090.2533626,1e-04,1,0.627033948898315,525.806324958801,"5_652_3",5,652,3,1956,FALSE,TRUE,1,0.0617811611177009,1,TRUE
"44",2.454535,0.9853238,0.0983793,2.4966725,0.798519,0.3325543,0.5010583325,0.32019192,0.3966184,2.569855,0.3995477,0.1595359,2.3554,0.7447023,0.0869988,2.3867275,0.4696821,0.33555475,1,0.90036819766428,NA,NA,0.0704586256491803,NA,NA,0.0704586256491803,0.263700294452967,0,56197.5852824715,0.000758302,65481090.2533626,1e-04,1,0.657150983810425,540.342417955399,"5_666_2",5,666,2,1997,FALSE,TRUE,1,0.0383433366291237,3,FALSE
